L,t_max,t_eq,t_sample,runs,corr_times,t_|m|^(W),t_|m|^(W) sample std
4,16,9.6,6.4,50,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
20.0    1.0
21.0    1.0
22.0    1.0
23.0    1.0
24.0    1.0
25.0    1.0
26.0    1.0
27.0    1.0
28.0    1.0
29.0    1.0
30.0    1.0
31.0    1.0
32.0    1.0
33.0    1.0
34.0    1.0
35.0    1.0
36.0    2.0
37.0    1.0
38.0    1.0
39.0    1.0
40.0    1.0
41.0    2.0
42.0    1.0
43.0    1.0
44.0    1.0
45.0    1.0
46.0    1.0
47.0    1.0
48.0    2.0
49.0    1.0
dtype: float64",1.06,0.239897937
24,576,345.6,230.4,50,"0.0     3.0
1.0     3.0
2.0     4.0
3.0     2.0
4.0     3.0
5.0     2.0
6.0     2.0
7.0     3.0
8.0     3.0
9.0     3.0
10.0    2.0
11.0    3.0
12.0    4.0
13.0    3.0
14.0    2.0
15.0    2.0
16.0    3.0
17.0    3.0
18.0    3.0
19.0    3.0
20.0    4.0
21.0    3.0
22.0    2.0
23.0    3.0
24.0    3.0
25.0    3.0
26.0    4.0
27.0    3.0
28.0    2.0
29.0    3.0
30.0    3.0
31.0    8.0
32.0    3.0
33.0    4.0
34.0    2.0
35.0    2.0
36.0    3.0
37.0    3.0
38.0    4.0
39.0    3.0
40.0    4.0
41.0    3.0
42.0    4.0
43.0    3.0
44.0    2.0
45.0    3.0
46.0    5.0
47.0    4.0
48.0    2.0
49.0    4.0
dtype: float64",3.1,1.015190743
48,2304,1382.4,921.6,50,"0.0     4.0
1.0     3.0
2.0     3.0
3.0     4.0
4.0     4.0
5.0     3.0
6.0     3.0
7.0     3.0
8.0     3.0
9.0     4.0
10.0    4.0
11.0    4.0
12.0    3.0
13.0    3.0
14.0    3.0
15.0    3.0
16.0    3.0
17.0    6.0
18.0    4.0
19.0    4.0
20.0    4.0
21.0    4.0
22.0    3.0
23.0    3.0
24.0    3.0
25.0    3.0
26.0    3.0
27.0    4.0
28.0    3.0
29.0    3.0
30.0    4.0
31.0    3.0
32.0    4.0
33.0    3.0
34.0    3.0
35.0    3.0
36.0    5.0
37.0    3.0
38.0    4.0
39.0    3.0
40.0    3.0
41.0    4.0
42.0    4.0
43.0    3.0
44.0    3.0
45.0    2.0
46.0    3.0
47.0    4.0
48.0    4.0
49.0    4.0
dtype: float64",3.46,0.676425177
72,5184,3110.4,2073.6,50,"0.0     3.0
1.0     3.0
2.0     3.0
3.0     3.0
4.0     3.0
5.0     3.0
6.0     3.0
7.0     3.0
8.0     3.0
9.0     5.0
10.0    3.0
11.0    3.0
12.0    3.0
13.0    3.0
14.0    3.0
15.0    3.0
16.0    3.0
17.0    4.0
18.0    3.0
19.0    3.0
20.0    4.0
21.0    4.0
22.0    3.0
23.0    3.0
24.0    3.0
25.0    3.0
26.0    3.0
27.0    3.0
28.0    3.0
29.0    4.0
30.0    3.0
31.0    3.0
32.0    3.0
33.0    3.0
34.0    4.0
35.0    3.0
36.0    4.0
37.0    3.0
38.0    4.0
39.0    3.0
40.0    3.0
41.0    3.0
42.0    4.0
43.0    3.0
44.0    3.0
45.0    3.0
46.0    3.0
47.0    3.0
48.0    3.0
49.0    3.0
dtype: float64",3.2,0.451753951
96,9216,5529.6,3686.4,50,"0.0     3.0
1.0     3.0
2.0     3.0
3.0     4.0
4.0     3.0
5.0     3.0
6.0     4.0
7.0     3.0
8.0     3.0
9.0     3.0
10.0    3.0
11.0    3.0
12.0    3.0
13.0    3.0
14.0    3.0
15.0    4.0
16.0    3.0
17.0    3.0
18.0    3.0
19.0    3.0
20.0    3.0
21.0    3.0
22.0    4.0
23.0    3.0
24.0    3.0
25.0    3.0
26.0    3.0
27.0    3.0
28.0    4.0
29.0    3.0
30.0    3.0
31.0    4.0
32.0    3.0
33.0    3.0
34.0    3.0
35.0    3.0
36.0    3.0
37.0    4.0
38.0    3.0
39.0    3.0
40.0    3.0
41.0    3.0
42.0    4.0
43.0    3.0
44.0    3.0
45.0    3.0
46.0    3.0
47.0    3.0
48.0    3.0
49.0    3.0
dtype: float64",3.16,0.37032804
100,10000,6000,4000,50,"0.0     3.0
1.0     4.0
2.0     3.0
3.0     4.0
4.0     3.0
5.0     4.0
6.0     3.0
7.0     3.0
8.0     4.0
9.0     3.0
10.0    3.0
11.0    4.0
12.0    3.0
13.0    3.0
14.0    3.0
15.0    3.0
16.0    3.0
17.0    3.0
18.0    3.0
19.0    3.0
20.0    3.0
21.0    3.0
22.0    3.0
23.0    3.0
24.0    3.0
25.0    3.0
26.0    3.0
27.0    3.0
28.0    3.0
29.0    3.0
30.0    3.0
31.0    4.0
32.0    3.0
33.0    3.0
34.0    3.0
35.0    3.0
36.0    3.0
37.0    3.0
38.0    4.0
39.0    3.0
40.0    3.0
41.0    3.0
42.0    3.0
43.0    3.0
44.0    3.0
45.0    3.0
46.0    3.0
47.0    3.0
48.0    3.0
49.0    3.0
dtype: float64",3.14,0.350509833
110,12100,7260,4840,50,"0.0     4.0
1.0     3.0
2.0     3.0
3.0     3.0
4.0     3.0
5.0     4.0
6.0     3.0
7.0     3.0
8.0     3.0
9.0     3.0
10.0    4.0
11.0    4.0
12.0    3.0
13.0    3.0
14.0    3.0
15.0    3.0
16.0    3.0
17.0    4.0
18.0    3.0
19.0    4.0
20.0    3.0
21.0    3.0
22.0    4.0
23.0    3.0
24.0    3.0
25.0    4.0
26.0    3.0
27.0    3.0
28.0    3.0
29.0    3.0
30.0    3.0
31.0    4.0
32.0    3.0
33.0    3.0
34.0    3.0
35.0    3.0
36.0    3.0
37.0    4.0
38.0    3.0
39.0    4.0
40.0    3.0
41.0    3.0
42.0    3.0
43.0    3.0
44.0    3.0
45.0    3.0
46.0    4.0
47.0    3.0
48.0    3.0
49.0    4.0
dtype: float64",3.26,0.443087498
125,15625,9375,6250,50,"0.0     4.0
1.0     3.0
2.0     3.0
3.0     3.0
4.0     4.0
5.0     4.0
6.0     3.0
7.0     4.0
8.0     4.0
9.0     3.0
10.0    3.0
11.0    3.0
12.0    3.0
13.0    4.0
14.0    4.0
15.0    4.0
16.0    4.0
17.0    3.0
18.0    3.0
19.0    3.0
20.0    4.0
21.0    4.0
22.0    3.0
23.0    3.0
24.0    3.0
25.0    3.0
26.0    3.0
27.0    3.0
28.0    4.0
29.0    3.0
30.0    4.0
31.0    3.0
32.0    4.0
33.0    3.0
34.0    3.0
35.0    3.0
36.0    4.0
37.0    3.0
38.0    3.0
39.0    4.0
40.0    3.0
41.0    4.0
42.0    3.0
43.0    3.0
44.0    4.0
45.0    4.0
46.0    3.0
47.0    4.0
48.0    3.0
49.0    4.0
dtype: float64",3.42,0.498569382
130,16900,10140,6760,50,"0.0     4.0
1.0     3.0
2.0     4.0
3.0     4.0
4.0     4.0
5.0     4.0
6.0     3.0
7.0     4.0
8.0     4.0
9.0     4.0
10.0    4.0
11.0    3.0
12.0    3.0
13.0    3.0
14.0    4.0
15.0    4.0
16.0    3.0
17.0    3.0
18.0    3.0
19.0    3.0
20.0    3.0
21.0    4.0
22.0    3.0
23.0    3.0
24.0    3.0
25.0    3.0
26.0    4.0
27.0    3.0
28.0    3.0
29.0    3.0
30.0    4.0
31.0    4.0
32.0    4.0
33.0    3.0
34.0    3.0
35.0    4.0
36.0    3.0
37.0    4.0
38.0    3.0
39.0    3.0
40.0    4.0
41.0    3.0
42.0    4.0
43.0    4.0
44.0    3.0
45.0    3.0
46.0    3.0
47.0    4.0
48.0    4.0
49.0    4.0
dtype: float64",3.48,0.50467205
140,19600,11760,7840,50,"0.0     3.0
1.0     4.0
2.0     4.0
3.0     4.0
4.0     4.0
5.0     4.0
6.0     4.0
7.0     3.0
8.0     4.0
9.0     4.0
10.0    4.0
11.0    4.0
12.0    4.0
13.0    4.0
14.0    4.0
15.0    4.0
16.0    4.0
17.0    4.0
18.0    3.0
19.0    3.0
20.0    3.0
21.0    4.0
22.0    4.0
23.0    4.0
24.0    4.0
25.0    3.0
26.0    3.0
27.0    4.0
28.0    4.0
29.0    4.0
30.0    4.0
31.0    4.0
32.0    3.0
33.0    4.0
34.0    4.0
35.0    4.0
36.0    4.0
37.0    3.0
38.0    4.0
39.0    4.0
40.0    3.0
41.0    3.0
42.0    4.0
43.0    4.0
44.0    4.0
45.0    4.0
46.0    4.0
47.0    4.0
48.0    4.0
49.0    4.0
dtype: float64",3.78,0.418451958
150,22500,13500,9000,50,"0.0     4.0
1.0     4.0
2.0     4.0
3.0     4.0
4.0     4.0
5.0     4.0
6.0     4.0
7.0     4.0
8.0     4.0
9.0     4.0
10.0    4.0
11.0    4.0
12.0    4.0
13.0    4.0
14.0    4.0
15.0    4.0
16.0    3.0
17.0    4.0
18.0    4.0
19.0    4.0
20.0    4.0
21.0    4.0
22.0    4.0
23.0    4.0
24.0    3.0
25.0    4.0
26.0    4.0
27.0    4.0
28.0    4.0
29.0    3.0
30.0    4.0
31.0    4.0
32.0    4.0
33.0    4.0
34.0    4.0
35.0    4.0
36.0    4.0
37.0    4.0
38.0    4.0
39.0    3.0
40.0    4.0
41.0    4.0
42.0    4.0
43.0    4.0
44.0    4.0
45.0    4.0
46.0    4.0
47.0    4.0
48.0    4.0
49.0    4.0
dtype: float64",3.92,0.274047516
